Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
367108,"$2,000","$2,000",12.84%,1.00%,"January 5, 2009","January 12, 2012","January 12, 2013",$0,RENT,"$5,833 / month",11.97%, 3 years 7 months,"Santa Monica, CA",__,"Fox Interactive Media, Agency.com, John Wiley & Sons, Kaplan, ABM Industries, Avenue A | Razorfish","Fox Interactive Media, Agency.com, John Wiley & Sons, Kaplan, ABM Industries, Avenue A | Razorfish",N/a,__,660-678,0,12/1988,$0.00,8,0,17,56,"$11,260.00",1,69.90%,74,1
367376,"$8,000","$8,000",12.21%,1.00%,"December 31, 2008","January 5, 2012","January 5, 2013",$0,OWN,"$3,750 / month",21.87%,8 years ,"CREIGHTON, PA",__,"Ruthrauff-Sauer LLC, Shipley Plumbing LLC","Ruthrauff-Sauer LLC, Shipley Plumbing LLC",N/a,__,679-713,0,12/2000,$0.00,6,0,11,77,"$6,569.00",0,22.30%,n/a,2
368435,"$7,500","$7,500",13.47%,1.00%,"December 31, 2008","January 1, 2012","January 1, 2013",$0,RENT,"$2,667 / month",21.30%, 5 months,"BOSTON, MA",__,"St Mary's Women  and  children Center, City Of Boston","St Mary's Women  and  children Center, City Of Boston",N/a,__,679-713,0,10/2002,$0.00,14,0,26,n/a,"$14,629.00",0,93.80%,n/a,1
368765,"$5,000","$5,000",9.63%,1.00%,"January 7, 2009","January 8, 2012","January 8, 2013",$0,RENT,"$3,167 / month",14.02%,8 years ,"n.easton, MA",__,"foxfield trans, quirk ford","foxfield trans, quirk ford",N/a,__,714-749,0,01/1997,$0.00,10,0,19,n/a,"$10,011.00",0,43.20%,n/a,3
368924,"$13,000","$13,000",12.53%,1.00%,"December 31, 2008","December 31, 2011","December 31, 2012",$0,MORTGAGE,"$4,500 / month",14.38%,10 years ,"Rochester, NY",__,"Centro Civico, SUNY Research Foundation","Centro Civico, SUNY Research Foundation",N/a,__,679-713,0,09/1989,$0.00,7,0,14,n/a,"$1,109.00",0,9.70%,n/a,2
369164,"$5,000","$5,000",12.53%,1.00%,"December 31, 2008","January 1, 2012","January 1, 2013",$0,MORTGAGE,"$6,750 / month",15.21%, 1 month,"Palm Bay, FL",__,"Tolliver Group, AT&T Government Solutions, Raytheon Systems","Tolliver Group, AT&T Government Solutions, Raytheon Systems",N/a,__,679-713,0,11/1994,$0.00,9,0,19,24,"$1,015.00",0,25.40%,n/a,0
369207,"$7,000","$7,000",9.32%,1.00%,"December 31, 2008","January 1, 2012","January 1, 2013",$0,MORTGAGE,"$2,083 / month",12.82%, 3 years 9 months,"Brooklyn Park, MN",__,"Pizza Hut, Hennepin County Family Court","Pizza Hut, Hennepin County Family Court",N/a,__,714-749,0,09/2003,$0.00,8,0,15,n/a,"$2,944.00",0,22.50%,n/a,0
369291,"$8,000","$8,000",12.21%,1.00%,"December 31, 2008","January 2, 2012","January 2, 2013",$0,MORTGAGE,"$6,250 / month",14.58%, 7 years 9 months,"Santa Clara, CA",__,"Crossbow Technologies, Crossbow Technologies","Crossbow Technologies, Crossbow Technologies",N/a,__,679-713,0,04/1993,$0.00,6,0,22,n/a,"$30,692.00",0,92.40%,n/a,1
369309,"$10,000","$10,000",9.32%,1.00%,"December 31, 2008","January 2, 2012","January 2, 2013",$0,RENT,"$4,917 / month",11.02%, 1 year 6 months,"greenbelt, MD",__,"SGT, SGT/NASA","SGT, SGT/NASA",N/a,__,750-779,0,05/1999,$0.00,17,0,22,n/a,"$2,710.00",0,5.70%,n/a,0
369320,"$13,000","$13,000",11.26%,1.00%,"December 31, 2008","January 2, 2012","January 2, 2013",$0,MORTGAGE,"$7,667 / month",14.05%, 9 years 1 month,"Clovis, CA",__,"Fire Design Specialties, Safeguard Fire Protection","Fire Design Specialties, Safeguard Fire Protection",N/a,__,714-749,0,04/1989,$0.00,8,0,21,n/a,"$9,551.00",1,43.80%,93,0
