Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"October 14, 2008",357066,"$4,000",7.68%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$3,417 / month",10.74%, 1 year 1 month,"NORCROSS, GA",Mansfield,St Josephs Research Institute,St Josephs Research Institute,N/a,Ashland University,714+,0,03/1996,$0.00,11,0,18,n/a,"$2,775.00",0,13.70%,n/a,3,N/a
"October 14, 2008",357812,"$4,700",12.09%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$3,333 / month",21.93%, 6 months,"San Francisco, CA",Vallejo,"Executive Hotels Vintage Court, Kimpton Hotels, The Atherton Hotel at OSU","Executive Hotels Vintage Court, Kimpton Hotels, The Atherton Hotel at OSU",N/a,"Oklahoma State University-Main Campus, Murray State College, Oklahoma State University-Okmulgee",679-713,0,01/1996,$0.00,5,0,19,48,"$3,266.00",0,49.50%,n/a,0,N/a
"October 14, 2008",357862,"$3,000",14.62%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$3,750 / month",10.85%, 9 months,"KILGORE, TX",Lewiston,Brannon Corporation,Brannon Corporation,N/a,Westwood College-Dallas,640-659,0,10/2002,$0.00,15,2,17,4,$0.00,0,0.00%,n/a,3,N/a
"October 14, 2008",357864,"$4,500",10.83%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$3,167 / month",13.54%, 8 years 8 months,"miami, FL",Philadelphia,American Airlines,American Airlines,N/a,Florida International University,679-713,0,01/1998,$0.00,11,0,29,46,"$1,818.00",0,29.80%,n/a,2,N/a
"October 14, 2008",357865,"$7,500",13.04%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$14,583 / month",9.36%,1 year ,"San Jose, CA",Redford,"NanoTech Entertainment, Inc., Global VR","NanoTech Entertainment, Inc., Global VR",N/a,St Vincent's College,660-678,0,06/1984,$0.00,11,1,20,8,"$25,362.00",0,73.90%,n/a,0,N/a
"October 14, 2008",357866,"$7,500",19.36%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$12,500 / month",25.47%, 7 years 3 months,"Northville, MI",BEVERLY HILLS,"Azeez & Associates, P.L.L.C.","Azeez & Associates, P.L.L.C.",N/a,University of Michigan - Dearborn,660-678,0,08/1989,$0.00,20,0,51,n/a,"$152,189.00",0,66.30%,n/a,7,N/a
"October 14, 2008",357867,"$3,000",11.78%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$2,407 / month",0.66%, 2 years 10 months,"NORTH HOLLYWOOD, CA",Whittier,"EL CAMINO TIRES, FIRST AMERICAN HOME BUYERS PROTECTION CORPORATION","EL CAMINO TIRES, FIRST AMERICAN HOME BUYERS PROTECTION CORPORATION",N/a,California State University-Northridge (CSUN),714+,0,08/2005,$0.00,5,0,6,n/a,$843.00,0,30.10%,n/a,0,N/a
"October 14, 2008",357868,"$6,500",13.67%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$12,500 / month",14.80%,1 year ,"Corona, CA",Invercargill,"CoKinetic Systems Corp, SmartPros, Ltd.","CoKinetic Systems Corp, SmartPros, Ltd.",N/a,University of Southern California (USC),660-678,0,12/1990,$0.00,17,0,33,n/a,"$88,223.00",0,89.40%,n/a,4,N/a
"October 14, 2008",357869,"$4,000",15.88%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$2,583 / month",21.45%, 3 years 10 months,"Las Vegas, NV",Veina,"Alliedbarton Security, IPC Corporation","Alliedbarton Security, IPC Corporation",N/a,University of Otago,640-659,0,08/2001,$0.00,14,0,17,n/a,"$11,157.00",0,54.70%,n/a,2,N/a
"October 14, 2008",357870,"$7,500",15.57%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",OWN,"$7,705 / month",26.45%, 3 years 2 months,"Seattle, WA",New Haven,"Coldwell Banker Bain, King County","Coldwell Banker Bain, King County",N/a,Portland State University,679-713,0,08/1971,$0.00,12,0,33,56,"$53,809.00",0,72.50%,n/a,1,N/a
