Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"January 7, 2015",751784,"$12,000",10.49%,1.00%,Three years after issuance,Five years after issuance,OWN,"$6,900 / month",20.38%,6 years ,919xx,N/a,N/a,N/a,Engineer,N/a,705-709,0,04/1996,$0.00,14,0,26,27,"$18,773.00",0,59.80%,n/a,0,27
"January 7, 2015",19978189,"$10,625",17.14%,1.00%,Three years after issuance,Five years after issuance,OWN,"$2,333 / month",29.06%,< 1 year ,604xx,N/a,N/a,N/a,director,N/a,660-664,0,01/2006,$0.00,18,0,27,55,"$22,675.00",0,62.30%,n/a,1,n/a
"January 7, 2015",29044008,"$35,000",8.67%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$10,000 / month",25.63%,10+ years ,846xx,N/a,N/a,N/a,Director,N/a,670-674,0,05/1989,$0.00,16,1,29,13,"$94,348.00",0,80.90%,n/a,0,40
"January 7, 2015",29264649,"$7,500",10.49%,1.00%,Three years after issuance,Five years after issuance,RENT,"$5,000 / month",9.78%,10+ years ,018xx,N/a,N/a,N/a,Building Supervisor,N/a,675-679,0,04/1995,$0.00,10,0,13,76,"$4,618.00",1,40.20%,62,0,76
"January 7, 2015",30195026,"$15,600",10.49%,1.00%,Three years after issuance,Five years after issuance,RENT,"$5,000 / month",23.77%,< 1 year ,441xx,N/a,N/a,N/a,Account Executive,N/a,680-684,0,10/2001,$0.00,23,0,35,n/a,"$14,879.00",0,35.70%,n/a,3,n/a
"January 7, 2015",32048321,"$8,950",8.67%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$2,833 / month",21.53%,6 years ,725xx,N/a,N/a,N/a,paralegal,N/a,695-699,0,09/1989,$0.00,7,1,21,12,"$4,297.00",0,39.00%,n/a,2,n/a
"January 7, 2015",34663373,"$12,000",9.49%,1.00%,Three years after issuance,Five years after issuance,OWN,"$7,083 / month",15.19%,1 year ,071xx,N/a,N/a,N/a,Sr. Project Coordinator,N/a,685-689,0,05/2003,$0.00,8,0,18,n/a,"$4,473.00",1,72.10%,76,1,n/a
"January 7, 2015",36360694,"$20,000",11.44%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$6,583 / month",24.46%,10+ years ,458xx,N/a,N/a,N/a,Facility Manager,N/a,750-754,0,05/1995,$0.00,12,0,22,n/a,"$8,701.00",0,31.00%,n/a,1,n/a
"January 7, 2015",36805329,"$6,000",9.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$4,750 / month",3.81%,10+ years ,278xx,N/a,N/a,N/a,equipment operator,N/a,680-684,0,09/1996,$0.00,10,1,13,12,"$5,746.00",0,40.50%,n/a,1,n/a
"January 7, 2015",36805838,"$28,375",17.86%,1.00%,Three years after issuance,Five years after issuance,RENT,"$50,083 / month",0.83%,n/a,900xx,N/a,N/a,N/a,n/a,N/a,680-684,0,05/2011,$0.00,6,0,9,n/a,"$8,512.00",0,74.00%,n/a,1,n/a
