Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"October 13, 2009",361295,"$12,000",14.26%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$8,250 / month",3.83%,10+ years ,"Ennis, TX",__,__,__,N/a,__,750-779,0,03/1993,$0.00,6,0,25,n/a,"$10,106.00",0,67.40%,n/a,3,N/a
"October 13, 2009",385396,"$10,000",8.59%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",n/a,"$9,167 / month",3.82%, 4 years 3 months,"bronx, NY",__,__,__,N/a,__,714-749,0,12/2000,$0.00,10,0,13,n/a,"$19,373.00",0,33.10%,n/a,0,N/a
"October 13, 2009",388115,"$8,000",14.26%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$3,258 / month",21.88%, 3 years 1 month,"springfield, OR",__,__,__,N/a,__,714-749,0,06/2002,$0.00,15,0,49,n/a,"$16,090.00",0,25.00%,n/a,3,N/a
"October 13, 2009",390078,"$6,000",14.96%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,125 / month",18.43%,8 years ,"Missouri City, TX",__,__,__,N/a,__,660-678,0,08/1994,$0.00,12,0,26,n/a,"$14,417.00",0,82.90%,n/a,0,N/a
"October 13, 2009",399746,"$5,000",14.26%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$2,500 / month",15.84%,4 years ,"Beaverton, OR",__,__,__,N/a,__,660-678,0,11/1996,$0.00,7,0,35,24,"$3,825.00",0,83.20%,n/a,3,N/a
"October 13, 2009",422956,"$16,000",12.87%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$3,167 / month",22.34%,8 years ,"Newport, MI",__,__,__,N/a,__,714-749,0,11/1998,$0.00,5,0,29,79,$0.00,0,0.00%,n/a,0,N/a
"October 13, 2009",437325,"$20,000",11.83%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,000 / month",13.80%, 5 years 2 months,"RIDGECREST, CA",__,__,__,N/a,__,714-749,0,03/1998,$0.00,8,0,13,n/a,"$15,968.00",0,28.60%,n/a,4,N/a
"October 13, 2009",438283,"$20,000",12.53%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$4,791 / month",20.68%, 1 year 6 months,"Washington, DC",__,__,__,N/a,__,714-749,0,11/1996,$0.00,7,0,16,32,"$18,996.00",0,77.90%,n/a,1,N/a
"October 13, 2009",444562,"$1,750",11.14%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$1,833 / month",8.02%, 2 years 3 months,"Santa Cruz, CA",__,__,__,N/a,__,714-749,0,10/2003,$0.00,4,0,5,n/a,"$1,838.00",0,14.90%,n/a,0,N/a
"October 13, 2009",445066,"$25,000",13.92%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$7,500 / month",0.47%, 4 years 4 months,"MONTEREY PARK, CA",__,__,__,N/a,__,714-749,0,10/2005,$0.00,7,0,11,n/a,"$1,119.00",0,3.70%,n/a,3,N/a
"October 13, 2009",445182,"$9,000",13.92%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$2,500 / month",12.04%,  0 year 2 months,"HOUSTON, TX",__,__,__,N/a,__,679-713,0,10/2005,$0.00,6,0,7,n/a,"$7,171.00",0,59.30%,n/a,0,N/a
"October 13, 2009",445208,"$24,250",19.47%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$5,333 / month",19.44%, 3 years 24 months,"YONKERS, NY",__,__,__,N/a,__,660-678,0,04/2001,$0.00,10,0,24,77,"$6,790.00",0,90.50%,n/a,5,N/a
"October 13, 2009",445296,"$15,000",17.04%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$7,500 / month",20.44%, 8 years 6 months,"LAKE WORTH, FL",__,__,__,N/a,__,660-678,0,02/1993,$0.00,16,0,28,81,"$8,086.00",0,68.90%,n/a,5,N/a
"October 13, 2009",445538,"$25,000",13.57%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$4,833 / month",10.30%,2 years ,"Saint Peters, MO",__,__,__,N/a,__,714-749,0,10/1997,$0.00,22,0,34,n/a,"$23,020.00",0,30.90%,n/a,0,N/a
"October 13, 2009",445938,"$24,000",13.92%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,667 / month",9.67%, 1 year 7 months,"HOUSTON, TX",__,__,__,N/a,__,714-749,0,03/2000,$0.00,15,0,35,32,$254.00,0,1.10%,n/a,6,N/a
"October 13, 2009",446043,"$8,400",15.31%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$6,250 / month",13.44%,10+ years ,"Milwaukee, WI",__,__,__,N/a,__,679-713,0,02/1990,$0.00,15,0,52,37,"$6,837.00",0,26.70%,n/a,7,N/a
"October 13, 2009",446264,"$18,000",13.57%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$8,167 / month",6.27%, 10+ years 6 months,"Swartz Creek, MI",__,__,__,N/a,__,679-713,0,12/1997,$0.00,16,1,63,14,"$22,910.00",0,53.30%,n/a,4,N/a
"October 13, 2009",446341,"$4,000",7.74%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",OWN,"$5,250 / month",7.66%, 2 years 7 months,"CLARKSBURG, WV",__,__,__,N/a,__,750-779,0,08/1998,$0.00,9,0,24,61,"$3,416.00",0,11.90%,n/a,0,N/a
"October 13, 2009",446350,"$24,250",12.53%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$16,667 / month",10.84%, 1 year 19 months,"BOSTON, MA",__,__,__,N/a,__,714-749,0,06/1994,$0.00,11,0,24,n/a,"$72,210.00",0,73.70%,n/a,0,N/a
"October 13, 2009",446465,"$25,000",15.31%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$5,250 / month",8.08%, 2 years 6 months,"MALVERNE, NY",__,__,__,N/a,__,679-713,0,03/1998,$0.00,5,0,16,71,"$18,960.00",0,83.80%,n/a,0,N/a
"October 13, 2009",446466,"$5,000",14.96%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$6,417 / month",16.99%, 10+ years 4 months,"BLOOMINGTON, IL",__,__,__,N/a,__,660-678,0,05/1986,$0.00,13,4,32,13,"$9,586.00",0,41.50%,n/a,2,N/a
"October 13, 2009",446481,"$10,200",13.92%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$4,583 / month",19.75%, 9 years 11 months,"Hempstead, NY",__,__,__,N/a,__,679-713,0,12/1997,$0.00,6,0,20,64,"$7,201.00",0,92.30%,n/a,0,N/a
"October 13, 2009",446507,"$4,900",12.87%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,167 / month",5.98%,1 year ,"Beltsville , MD",__,__,__,N/a,__,679-713,0,02/1994,$0.00,3,0,9,n/a,"$3,052.00",0,76.30%,n/a,0,N/a
"October 13, 2009",446661,"$19,000",16.70%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$4,458 / month",19.87%, 10+ years 6 months,"Bergenfield, NJ",__,__,__,N/a,__,660-678,0,01/1999,$0.00,12,0,21,n/a,"$17,176.00",0,73.40%,n/a,1,N/a
"October 13, 2009",446664,"$25,000",13.92%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$2,600 / month",1.31%,7 years ,"WEST GROVE, PA",__,__,__,N/a,__,714-749,0,01/2005,$0.00,3,0,5,n/a,$802.00,0,15.10%,n/a,2,N/a
"October 13, 2009",446805,"$25,000",11.83%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",OWN,"$20,833 / month",15.70%,1 year ,"Lothian, MD",__,__,__,N/a,__,750-779,0,07/1990,$0.00,19,0,42,n/a,"$290,341.00",0,38.00%,n/a,0,N/a
"October 13, 2009",446810,"$7,000",13.57%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",OWN,"$3,333 / month",16.32%,10+ years ,"CARTHAGE, TX",__,__,__,N/a,__,679-713,0,07/1997,$0.00,3,1,8,17,$911.00,0,45.50%,n/a,0,N/a
"October 13, 2009",446839,"$25,000",15.31%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$4,167 / month",12.34%,10+ years ,"CITRUS HEIGHTS, CA",__,__,__,N/a,__,679-713,0,02/1992,$0.00,12,0,18,n/a,"$26,210.00",0,56.90%,n/a,5,N/a
