Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"February 6, 2015",969758,"$24,000",10.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,333 / month",16.55%,1 year ,103xx,N/a,N/a,N/a,Asoociate Veterinarian,N/a,680-684,0,01/1998,$0.00,12,0,31,27,"$38,343.00",0,88.30%,n/a,1,n/a
"February 6, 2015",15561239,"$10,000",6.92%,1.00%,Three years after issuance,Five years after issuance,RENT,"$4,583 / month",6.28%,3 years ,941xx,N/a,N/a,N/a,Co-Founder,N/a,680-684,0,08/2007,$0.00,10,0,18,34,"$15,452.00",0,57.20%,n/a,0,34
"February 6, 2015",16352992,"$20,000",7.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,833 / month",21.24%,3 years ,193xx,N/a,N/a,N/a,Senior Analyst,N/a,680-684,0,06/1976,$0.00,20,1,54,23,"$28,104.00",0,35.90%,n/a,0,23
"February 6, 2015",35959096,"$24,000",9.99%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$7,333 / month",11.03%,8 years ,301xx,N/a,N/a,N/a,Logistics Manager,N/a,730-734,0,10/1987,$0.00,12,0,15,n/a,"$40,032.00",0,49.10%,n/a,0,n/a
"February 6, 2015",37731410,"$30,000",12.69%,1.00%,Three years after issuance,Five years after issuance,OWN,"$6,000 / month",20.20%,10+ years ,270xx,N/a,N/a,N/a,field nurse,N/a,680-684,0,12/1993,$0.00,9,0,29,53,"$19,786.00",0,90.30%,n/a,0,n/a
"February 6, 2015",38457267,"$35,000",15.61%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$9,317 / month",21.74%,n/a,791xx,N/a,N/a,N/a,n/a,N/a,725-729,1,04/1996,$0.00,26,1,59,1,"$15,869.00",0,27.10%,n/a,0,n/a
"February 6, 2015",38498980,"$30,000",14.31%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$11,667 / month",15.79%,1 year ,958xx,N/a,N/a,N/a,Registered Nurse,N/a,680-684,0,01/2009,$0.00,13,0,17,n/a,"$31,955.00",0,59.60%,n/a,2,n/a
"February 6, 2015",38559461,"$13,600",6.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$5,833 / month",22.65%,n/a,484xx,N/a,N/a,N/a,n/a,N/a,695-699,0,09/1989,$0.00,21,0,45,n/a,"$55,788.00",0,47.70%,n/a,1,n/a
"February 6, 2015",38568870,"$32,000",10.49%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$6,667 / month",22.93%,10+ years ,228xx,N/a,N/a,N/a,Postmaster,N/a,720-724,0,12/1993,$0.00,10,0,26,n/a,"$19,105.00",0,78.30%,n/a,0,n/a
"February 6, 2015",38588265,"$35,000",12.29%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$7,500 / month",18.75%,6 years ,660xx,N/a,N/a,N/a,Adminstration,N/a,725-729,0,10/1999,$0.00,13,0,21,n/a,"$40,849.00",0,51.00%,n/a,1,n/a
"February 6, 2015",38589236,"$7,500",6.92%,1.00%,Three years after issuance,Five years after issuance,OWN,"$5,000 / month",10.36%,10+ years ,117xx,N/a,N/a,N/a,Network Admin,N/a,675-679,0,07/2002,$0.00,11,0,27,n/a,"$6,470.00",2,47.60%,29,1,n/a
"February 6, 2015",38618433,"$20,000",14.99%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$5,417 / month",15.14%,5 years ,925xx,N/a,N/a,N/a,Truck Driver / owner operator,N/a,680-684,0,07/2004,$0.00,12,0,21,43,"$18,564.00",0,69.80%,n/a,1,n/a
"February 6, 2015",38792290,"$4,000",10.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$3,958 / month",4.09%,9 years ,599xx,N/a,N/a,N/a,Software Quality Analyst II,N/a,665-669,0,04/1990,$0.00,4,0,13,27,"$2,043.00",0,88.80%,n/a,0,60
"February 6, 2015",39269729,"$32,000",10.49%,1.00%,Five years after issuance,Five years after issuance,RENT,"$7,083 / month",34.02%,6 years ,928xx,N/a,N/a,N/a,Solutions Architect,N/a,730-734,0,02/1983,$0.00,26,0,48,35,"$35,877.00",0,35.60%,n/a,0,35
"February 6, 2015",39349294,"$8,000",6.03%,1.00%,Three years after issuance,Five years after issuance,RENT,"$10,833 / month",11.10%,10+ years ,926xx,N/a,N/a,N/a,Rn,N/a,675-679,0,03/2000,$0.00,17,0,43,56,"$8,345.00",3,30.80%,60,0,n/a
"February 6, 2015",39440039,"$28,000",6.92%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$25,000 / month",9.71%,9 years ,208xx,N/a,N/a,N/a,President,N/a,765-769,0,08/1989,$0.00,15,0,27,n/a,"$58,979.00",0,16.30%,n/a,1,n/a
"February 6, 2015",39459418,"$12,000",6.92%,1.00%,Three years after issuance,Five years after issuance,RENT,"$2,958 / month",20.42%,6 years ,349xx,N/a,N/a,N/a,ramp agent,N/a,670-674,0,05/1996,$0.00,7,0,23,31,"$14,919.00",0,57.40%,n/a,1,31
"February 6, 2015",39523101,"$20,000",11.53%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$6,000 / month",28.22%,4 years ,945xx,N/a,N/a,N/a,Teacher,N/a,660-664,0,06/1989,$0.00,15,0,33,n/a,"$25,778.00",0,86.20%,n/a,0,n/a
"February 6, 2015",39549331,"$21,000",8.18%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$6,250 / month",23.83%,10+ years ,881xx,N/a,N/a,N/a,Capt,N/a,675-679,0,07/2001,$0.00,15,1,43,19,"$9,731.00",0,55.90%,n/a,0,37
"February 6, 2015",39552069,"$10,000",7.89%,1.00%,Three years after issuance,Five years after issuance,RENT,"$6,250 / month",23.36%,< 1 year ,029xx,N/a,N/a,N/a,Remodeling Consultant,N/a,715-719,0,10/2003,$0.00,26,0,44,n/a,"$15,583.00",0,77.90%,n/a,0,n/a
"February 6, 2015",39562156,"$32,100",22.99%,1.00%,Five years after issuance,Five years after issuance,OWN,"$5,833 / month",30.49%,3 years ,785xx,N/a,N/a,N/a,Corporate Accountant,N/a,685-689,0,03/1986,$0.00,16,0,27,25,"$20,614.00",0,35.50%,n/a,4,n/a
"February 6, 2015",39572197,"$21,000",17.57%,1.00%,Five years after issuance,Five years after issuance,RENT,"$8,333 / month",16.14%,< 1 year ,026xx,N/a,N/a,N/a,owner,N/a,665-669,0,01/2001,$0.00,4,0,15,28,"$2,205.00",0,73.50%,n/a,0,29
"February 6, 2015",39572539,"$21,475",13.33%,1.00%,Three years after issuance,Five years after issuance,OWN,"$13,333 / month",24.72%,7 years ,325xx,N/a,N/a,N/a,Member,N/a,680-684,0,12/1994,$0.00,17,0,37,34,"$74,358.00",0,77.30%,n/a,2,34
"February 6, 2015",39600447,"$15,000",16.49%,1.00%,Five years after issuance,Five years after issuance,RENT,"$5,000 / month",30.76%,7 years ,220xx,N/a,N/a,N/a,Satellite Installer Technician,N/a,675-679,0,09/2005,$0.00,13,0,25,n/a,"$13,683.00",0,55.60%,n/a,1,n/a
"February 6, 2015",39631002,"$20,000",12.99%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$5,417 / month",12.99%,8 years ,940xx,N/a,N/a,N/a,Company Manager,N/a,675-679,0,07/2001,$0.00,13,8,32,12,"$14,392.00",0,61.20%,n/a,3,21
"February 6, 2015",39639527,"$20,000",8.19%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,750 / month",18.88%,10+ years ,760xx,N/a,N/a,N/a,OWNER,N/a,680-684,0,10/1981,$0.00,9,0,28,40,"$14,669.00",0,69.20%,n/a,0,46
"February 6, 2015",39641819,"$8,000",6.92%,1.00%,Three years after issuance,Five years after issuance,RENT,"$3,500 / month",14.74%,10+ years ,473xx,N/a,N/a,N/a,Consultant,N/a,665-669,0,08/1982,$0.00,3,0,7,54,"$5,697.00",1,91.90%,115,0,54
"February 6, 2015",39682034,"$25,000",6.99%,1.00%,Three years after issuance,Five years after issuance,RENT,"$7,083 / month",7.90%,1 year ,850xx,N/a,N/a,N/a,Speech Pathologist,N/a,705-709,0,04/1983,$0.00,8,0,30,44,"$18,100.00",0,35.80%,n/a,0,45
"February 6, 2015",39690776,"$21,000",10.99%,1.00%,Three years after issuance,Five years after issuance,RENT,"$8,333 / month",17.45%,8 years ,927xx,N/a,N/a,N/a,Programmer Analyst,N/a,695-699,0,11/1995,$0.00,15,0,27,n/a,"$33,688.00",0,78.50%,n/a,1,n/a
"February 6, 2015",39692034,"$24,000",17.86%,1.00%,Five years after issuance,Five years after issuance,RENT,"$4,167 / month",30.28%,2 years ,786xx,N/a,N/a,N/a,Accounting Specialist,N/a,670-674,0,04/2006,$0.00,8,0,15,73,"$10,710.00",0,88.50%,n/a,1,73
"February 6, 2015",39692152,"$18,450",11.44%,1.00%,Five years after issuance,Five years after issuance,RENT,"$4,167 / month",20.26%,10+ years ,662xx,N/a,N/a,N/a,Sales Executive,N/a,695-699,0,01/2001,$0.00,11,1,24,12,"$13,027.00",0,52.50%,n/a,0,n/a
"February 6, 2015",39702615,"$35,000",20.49%,1.00%,Five years after issuance,Five years after issuance,OWN,"$7,333 / month",15.60%,10+ years ,857xx,N/a,N/a,N/a,IT Manager,N/a,690-694,0,03/2011,$0.00,7,0,7,n/a,"$31,624.00",0,71.40%,n/a,1,n/a
"February 6, 2015",39712310,"$10,000",11.53%,1.00%,Three years after issuance,Five years after issuance,OWN,"$2,500 / month",19.60%,n/a,278xx,N/a,N/a,N/a,n/a,N/a,670-674,0,12/1977,$0.00,4,3,14,5,"$9,556.00",0,60.50%,n/a,2,73
"February 6, 2015",39741843,"$20,450",12.69%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$4,750 / month",16.33%,n/a,953xx,N/a,N/a,N/a,n/a,N/a,680-684,0,06/1984,$0.00,11,0,30,n/a,"$14,838.00",0,51.20%,n/a,0,n/a
"February 6, 2015",39761022,"$25,000",6.03%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,083 / month",16.94%,10+ years ,324xx,N/a,N/a,N/a,Store Director GS 13,N/a,775-779,0,09/1976,$0.00,12,0,32,n/a,"$30,770.00",0,30.50%,n/a,0,n/a
"February 6, 2015",39877854,"$35,000",15.61%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$7,750 / month",35.30%,n/a,622xx,N/a,N/a,N/a,n/a,N/a,710-714,0,06/1978,$0.00,20,0,29,n/a,"$72,873.00",0,64.90%,n/a,1,n/a
