Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
625251,"$14,000","$14,000",20.99%,1.00%,"January 23, 2015","February 5, 2020","February 5, 2020",$0,MORTGAGE,"$4,400 / month",29.66%,6 years ,275xx,N/a,N/a,N/a,Director of Communication,N/a,675-679,0,08/1996,$0.00,11,0,24,37,"$13,692.00",0,92.50%,n/a,0
1458925,"$15,350","$15,350",10.49%,1.00%,"January 27, 2015","February 7, 2018","February 7, 2020",$0,MORTGAGE,"$6,217 / month",10.26%,< 1 year ,774xx,N/a,N/a,N/a,Data Analyst,N/a,690-694,0,10/1999,$0.00,12,0,23,n/a,"$17,835.00",0,63.70%,n/a,0
2087124,"$12,200","$12,200",8.67%,1.00%,"January 23, 2015","February 3, 2018","February 3, 2020",$0,MORTGAGE,"$4,500 / month",16.07%,7 years ,060xx,N/a,N/a,N/a,Accountant,N/a,710-714,0,04/1995,$0.00,10,0,21,n/a,"$31,473.00",0,54.40%,n/a,0
6737325,"$7,000","$7,000",6.49%,1.00%,"January 22, 2015","February 2, 2018","February 2, 2020",$0,MORTGAGE,"$7,292 / month",17.32%,10+ years ,251xx,N/a,N/a,N/a,Activity Coordinator,N/a,700-704,0,02/1994,$0.00,6,0,12,n/a,"$13,332.00",1,85.50%,70,0
10914761,"$14,000","$14,000",17.14%,1.00%,"January 23, 2015","February 3, 2018","February 3, 2020",$0,OWN,"$3,750 / month",32.56%,1 year ,021xx,N/a,N/a,N/a,VMS Analyst,N/a,680-684,0,09/2007,$0.00,15,0,17,n/a,"$11,117.00",0,42.40%,n/a,0
12595133,"$3,150","$3,150",15.59%,1.00%,"January 23, 2015","February 3, 2018","February 3, 2020",$0,OWN,"$2,250 / month",14.89%,n/a,927xx,N/a,N/a,N/a,n/a,N/a,660-664,0,09/1999,$0.00,6,0,28,77,"$3,184.00",1,43.00%,63,4
20099426,"$2,800","$2,800",8.19%,1.00%,"January 27, 2015","February 7, 2018","February 7, 2020",$0,OWN,"$8,000 / month",16.34%,10+ years ,920xx,N/a,N/a,N/a,Field Technician,N/a,720-724,0,04/1988,$0.00,12,0,34,n/a,"$4,331.00",1,33.10%,84,0
21209810,"$15,150","$15,150",15.99%,1.00%,"January 27, 2015","February 7, 2020","February 7, 2020",$0,OWN,"$9,500 / month",16.32%,5 years ,875xx,N/a,N/a,N/a,Program Manager,N/a,665-669,0,08/2000,$0.00,13,0,30,n/a,"$51,741.00",0,98.70%,n/a,1
36281419,"$14,000","$14,000",7.49%,1.00%,"January 22, 2015","January 31, 2018","January 31, 2020",$0,MORTGAGE,"$7,000 / month",6.01%,8 years ,067xx,N/a,N/a,N/a,IT Project Manager,N/a,715-719,0,12/2000,$0.00,10,0,20,n/a,"$20,298.00",0,40.50%,n/a,1
36340395,"$12,000","$12,000",14.99%,1.00%,"January 26, 2015","January 19, 2018","January 19, 2020",$0,RENT,"$8,333 / month",8.19%,4 years ,115xx,N/a,N/a,N/a,Sales associate,N/a,675-679,0,10/2004,$0.00,6,0,9,n/a,"$12,927.00",0,53.60%,n/a,1
36341010,"$35,000","$35,000",17.14%,1.00%,"January 26, 2015","February 6, 2020","February 6, 2020",$0,MORTGAGE,"$13,333 / month",9.68%,4 years ,959xx,N/a,N/a,N/a,Pharmacy mgr,N/a,680-684,0,05/1996,$0.00,12,0,18,62,"$41,878.00",0,67.70%,n/a,0
36990261,"$17,000","$17,000",11.44%,1.00%,"January 27, 2015","January 14, 2020","January 14, 2020",$0,MORTGAGE,"$10,833 / month",15.41%,2 years ,776xx,N/a,N/a,N/a,General Manager,N/a,715-719,0,05/2000,$0.00,6,0,18,31,"$7,768.00",0,47.70%,n/a,0
37097888,"$28,000","$28,000",11.99%,1.00%,"January 22, 2015","January 27, 2018","January 27, 2020",$0,MORTGAGE,"$15,250 / month",10.98%,3 years ,775xx,N/a,N/a,N/a,engineer,N/a,710-714,0,04/1998,$0.00,16,0,32,n/a,"$29,107.00",0,60.30%,n/a,0
37137413,"$20,000","$20,000",8.67%,1.00%,"January 22, 2015","January 12, 2018","January 12, 2020",$0,OWN,"$19,792 / month",19.54%,4 years ,950xx,N/a,N/a,N/a,Chief Financial Officer,N/a,695-699,0,04/1977,$0.00,13,1,22,6,"$345,630.00",0,94.30%,n/a,0
37167662,"$12,000","$12,000",12.39%,1.00%,"January 21, 2015","January 28, 2018","January 28, 2020",$0,RENT,"$3,567 / month",37.35%,10+ years ,347xx,N/a,N/a,N/a,Service Admin,N/a,715-719,0,03/1996,$0.00,10,0,24,n/a,"$14,766.00",0,86.40%,n/a,0
37600347,"$35,000","$35,000",22.99%,1.00%,"January 26, 2015","January 27, 2020","January 27, 2020",$0,RENT,"$7,667 / month",14.82%,10+ years ,950xx,N/a,N/a,N/a,Proprietor,N/a,680-684,0,09/2000,$0.00,6,0,9,n/a,"$28,368.00",0,57.50%,n/a,1
