Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
373880,"$8,000","$8,000",12.53%,1.00%,"October 9, 2009","October 15, 2012","October 15, 2013",$0,RENT,"$5,833 / month",20.67%,9 years ,"Bronx, NY",__,__,__,N/a,__,679-713,0,02/1995,$0.00,20,0,25,n/a,"$14,193.00",1,46.40%,94,3
390078,"$6,000","$6,000",14.96%,1.00%,"October 13, 2009","October 9, 2012","October 9, 2013",$0,RENT,"$6,125 / month",18.43%,8 years ,"Missouri City, TX",__,__,__,N/a,__,660-678,0,08/1994,$0.00,12,0,26,n/a,"$14,417.00",0,82.90%,n/a,0
418548,"$7,000","$7,000",14.61%,1.00%,"October 13, 2009","October 17, 2012","October 17, 2013",$0,n/a,"$3,542 / month",10.64%,  0 year 4 months,"Daly City, CA",__,__,__,N/a,__,679-713,0,10/2004,$0.00,8,0,16,n/a,"$8,557.00",0,77.10%,n/a,1
434007,"$15,000","$15,000",12.53%,1.00%,"October 7, 2009","October 16, 2012","October 16, 2013",$0,MORTGAGE,"$6,667 / month",0.13%,6 years ,"Pawtucket, RI",__,__,__,N/a,__,780+,0,04/1990,$0.00,3,0,8,n/a,$9.00,0,0.10%,n/a,0
436825,"$10,800","$10,800",13.57%,1.00%,"October 7, 2009","October 8, 2012","October 8, 2013",$0,RENT,"$3,833 / month",2.77%, 4 years 5 months,"POMPANO BEACH, FL",__,__,__,N/a,__,714-749,0,08/2003,$0.00,4,0,4,n/a,"$5,911.00",0,15.30%,n/a,1
440545,"$25,000","$25,000",18.09%,1.00%,"October 9, 2009","October 9, 2012","October 9, 2013",$0,MORTGAGE,"$5,833 / month",21.02%,10+ years ,"Everett, PA",__,__,__,N/a,__,660-678,0,07/1995,$0.00,9,0,25,69,"$37,893.00",0,74.40%,n/a,3
441132,"$7,500","$7,500",12.18%,1.00%,"October 9, 2009","October 18, 2012","October 18, 2013",$0,RENT,"$6,667 / month",2.77%, 3 years 6 months,"NEW YORK, NY",__,__,__,N/a,__,714-749,0,10/1999,$0.00,4,0,12,37,$653.00,0,19.80%,n/a,2
443054,"$5,000","$5,000",15.31%,1.00%,"October 8, 2009","October 9, 2012","October 9, 2013",$0,RENT,"$3,958 / month",3.79%,10+ years ,"CITRUS HEIGHTS, CA",__,__,__,N/a,__,660-678,0,06/2001,$0.00,3,0,4,n/a,"$2,029.00",0,20.30%,n/a,3
443178,"$7,000","$7,000",13.22%,1.00%,"October 7, 2009","October 12, 2012","October 12, 2013",$0,RENT,"$2,333 / month",15.09%, 1 year 1 month,"GRAND PRAIRIE, TX",__,__,__,N/a,__,679-713,0,12/1998,$0.00,6,0,12,30,"$2,896.00",0,10.30%,n/a,0
443671,"$16,000","$16,000",14.26%,1.00%,"October 7, 2009","October 5, 2012","October 5, 2013",$0,MORTGAGE,"$3,750 / month",14.67%,10+ years ,"SAINT PAUL, MN",__,__,__,N/a,__,679-713,0,11/1998,$0.00,11,0,17,40,"$9,092.00",0,23.20%,n/a,0
444444,"$5,000","$5,000",14.61%,1.00%,"October 13, 2009","October 13, 2012","October 13, 2013",$0,MORTGAGE,"$5,000 / month",20.92%,10+ years ,"ROCHESTER, NY",__,__,__,N/a,__,679-713,0,03/1994,$0.00,9,0,18,50,"$3,179.00",0,20.60%,n/a,1
444563,"$8,400","$8,400",18.43%,1.00%,"October 7, 2009","October 8, 2012","October 8, 2013",$0,RENT,"$2,773 / month",4.18%,2 years ,"LAVEEN, AZ",__,__,__,N/a,__,660-678,0,10/2004,$0.00,6,0,10,n/a,"$3,244.00",0,73.70%,n/a,1
444904,"$25,000","$25,000",16.70%,1.00%,"October 7, 2009","October 7, 2012","October 7, 2013",$0,MORTGAGE,"$12,500 / month",24.77%, 10+ years 2 months,"Germantown, MD",__,__,__,N/a,__,679-713,0,12/1985,$0.00,16,1,43,16,"$56,883.00",0,93.30%,n/a,1
445086,"$25,000","$25,000",19.82%,1.00%,"October 7, 2009","October 6, 2012","October 6, 2013",$0,MORTGAGE,"$9,167 / month",16.20%, 10+ years 6 months,"New Tripoli, PA",__,__,__,N/a,__,714-749,0,04/1976,$0.00,28,1,42,3,"$144,217.00",0,12.00%,n/a,0
445182,"$9,000","$9,000",13.92%,1.00%,"October 13, 2009","October 12, 2012","October 12, 2013",$0,RENT,"$2,500 / month",12.04%,  0 year 2 months,"HOUSTON, TX",__,__,__,N/a,__,679-713,0,10/2005,$0.00,6,0,7,n/a,"$7,171.00",0,59.30%,n/a,0
445279,"$20,000","$20,000",16.00%,1.00%,"October 7, 2009","October 7, 2012","October 7, 2013",$0,RENT,"$9,167 / month",18.13%,10+ years ,"Pendleton, SC",__,__,__,N/a,__,714-749,0,04/1980,$0.00,8,0,35,39,"$22,784.00",0,82.00%,n/a,0
445295,"$12,000","$12,000",15.31%,1.00%,"October 8, 2009","October 8, 2012","October 8, 2013",$0,RENT,"$4,167 / month",5.59%,3 years ,"LEESBURG, VA",__,__,__,N/a,__,660-678,0,09/2004,$0.00,5,0,5,n/a,"$6,804.00",0,74.00%,n/a,1
445312,"$20,000","$20,000",11.48%,1.00%,"October 7, 2009","October 7, 2012","October 7, 2013",$0,MORTGAGE,"$8,333 / month",11.02%, 4 years 6 months,"Frisco, TX",__,__,__,N/a,__,750-779,0,11/2000,$0.00,10,0,15,n/a,"$1,492.00",0,6.10%,n/a,3
445323,"$24,250","$24,250",12.87%,1.00%,"October 7, 2009","October 7, 2012","October 7, 2013",$0,MORTGAGE,"$11,250 / month",8.08%, 10+ years 3 months,"CHICAGO, IL",__,__,__,N/a,__,714-749,0,03/1999,$0.00,9,0,12,n/a,"$26,361.00",0,73.20%,n/a,1
445465,"$15,250","$15,250",13.22%,1.00%,"October 7, 2009","October 7, 2012","October 7, 2013",$0,RENT,"$3,333 / month",22.41%, 3 years 3 months,"santa monica, CA",__,__,__,N/a,__,679-713,0,01/1996,$0.00,7,0,30,31,"$14,876.00",0,56.10%,n/a,1
445484,"$13,000","$13,000",13.92%,1.00%,"October 9, 2009","October 8, 2012","October 8, 2013",$0,RENT,"$4,833 / month",19.24%,8 years ,"PEORIA, AZ",__,__,__,N/a,__,679-713,0,03/1996,$0.00,8,2,43,11,"$17,599.00",0,28.30%,n/a,3
