Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
69001,"$15,000","$15,000",8.94%,1.00%,"September 25, 2009","September 29, 2012","September 29, 2013",$0,MORTGAGE,"$9,167 / month",7.07%,n/a,"Rochester, NY",__,__,__,N/a,__,780+,0,11/1991,$0.00,6,0,19,0,"$7,586.00",0,52.70%,0,1
368469,"$8,000","$8,000",11.14%,1.00%,"September 24, 2009","October 5, 2012","October 5, 2013",$0,MORTGAGE,"$4,333 / month",19.06%, 20 years 2 months,"Robinson, IL",__,__,__,N/a,__,750-779,0,05/1980,$0.00,14,0,55,n/a,"$2,477.00",0,18.20%,n/a,5
376658,"$11,200","$11,200",13.92%,1.00%,"September 24, 2009","September 23, 2012","September 23, 2013",$0,MORTGAGE,"$2,773 / month",18.07%, 5 years 3 months,"Waterford, CT",__,__,__,N/a,__,679-713,0,08/2000,$0.00,6,0,18,n/a,"$6,720.00",0,88.40%,n/a,3
380278,"$5,000","$5,000",18.43%,1.00%,"September 24, 2009","October 1, 2012","October 1, 2013",$0,RENT,"$1,667 / month",10.32%,n/a,"Austin, TX",__,__,__,N/a,__,679-713,0,06/2005,$0.00,4,0,6,n/a,"$3,688.00",0,97.10%,n/a,1
417251,"$12,000","$12,000",8.94%,1.00%,"September 25, 2009","September 25, 2012","September 25, 2013",$0,MORTGAGE,"$5,042 / month",7.78%, 30 years 2 months,"Wyomissing, PA",__,__,__,N/a,__,750-779,0,02/1976,$0.00,16,0,33,n/a,"$12,893.00",0,14.10%,n/a,1
421544,"$8,400","$8,400",12.18%,1.00%,"September 25, 2009","September 30, 2012","September 30, 2013",$0,MORTGAGE,"$3,189 / month",14.05%, 27 years 6 months,"Miami, FL",__,__,__,N/a,__,679-713,0,12/1998,$0.00,9,0,13,n/a,$490.00,0,9.60%,n/a,2
440154,"$2,000","$2,000",8.59%,1.00%,"September 25, 2009","September 25, 2012","September 25, 2013",$0,RENT,"$1,667 / month",8.70%,3 years ,"FORT LAUDERDALE, FL",__,__,__,N/a,__,714-749,0,12/1997,$0.00,5,0,6,n/a,"$4,622.00",0,19.30%,n/a,0
440371,"$20,000","$20,000",15.65%,1.00%,"September 23, 2009","September 22, 2012","September 22, 2013",$0,RENT,"$8,100 / month",3.60%, 8 years 7 months,"Glendale, CA",__,__,__,N/a,__,714-749,0,03/1994,$0.00,9,0,14,n/a,"$16,930.00",0,22.60%,n/a,0
440758,"$20,000","$20,000",12.18%,1.00%,"September 23, 2009","September 23, 2012","September 23, 2013",$0,RENT,"$4,239 / month",22.88%, 6 years 3 months,"Miami, FL",__,__,__,N/a,__,714-749,0,10/1998,$0.00,10,0,16,n/a,"$26,803.00",0,51.40%,n/a,1
440908,"$20,000","$20,000",17.04%,1.00%,"September 23, 2009","September 24, 2012","September 24, 2013",$0,MORTGAGE,"$13,500 / month",14.04%, 5 years 11 months,"Arlington Heights, IL",__,__,__,N/a,__,660-678,0,07/1997,$0.00,14,0,37,n/a,"$70,627.00",0,91.80%,n/a,2
440924,"$20,000","$20,000",13.57%,1.00%,"September 25, 2009","September 25, 2012","September 25, 2013",$0,RENT,"$3,500 / month",11.91%, 1 year 1 month,"Albuquerque, NM",__,__,__,N/a,__,714-749,0,10/2005,$0.00,7,0,7,n/a,"$1,458.00",0,12.40%,n/a,2
440946,"$15,000","$15,000",14.96%,1.00%,"September 24, 2009","September 24, 2012","September 24, 2013",$0,RENT,"$7,500 / month",24.99%, 15 years 6 months,"chicago, IL",__,__,__,N/a,__,679-713,0,01/2000,$0.00,11,0,17,n/a,"$53,896.00",0,96.80%,n/a,0
441042,"$20,000","$20,000",19.13%,1.00%,"September 23, 2009","September 24, 2012","September 24, 2013",$0,MORTGAGE,"$5,250 / month",8.86%, 16 years 2 months,"Williams, CA",__,__,__,N/a,__,660-678,0,07/1989,$0.00,6,0,36,29,"$9,881.00",0,99.80%,n/a,0
441061,"$7,000","$7,000",12.87%,1.00%,"September 25, 2009","September 25, 2012","September 25, 2013",$0,RENT,"$2,083 / month",9.79%,1 year ,"Brooklyn, NY",__,__,__,N/a,__,679-713,0,04/1991,$0.00,5,0,12,35,"$6,355.00",0,65.50%,n/a,1
441182,"$15,000","$15,000",12.18%,1.00%,"September 28, 2009","September 28, 2012","September 28, 2013",$0,OWN,"$7,000 / month",24.66%, 18 years 10 months,"PHILADELPHIA, PA",__,__,__,N/a,__,714-749,0,02/1979,$0.00,14,2,36,21,"$22,319.00",0,58.70%,n/a,0
441257,"$10,000","$10,000",13.57%,1.00%,"September 24, 2009","September 25, 2012","September 25, 2013",$0,MORTGAGE,"$8,333 / month",3.35%, 4 years 10 months,"Humble, TX",__,__,__,N/a,__,679-713,0,04/2003,$0.00,4,0,11,n/a,$61.00,0,2.00%,n/a,0
