Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
59006,"$3,000","$3,000",14.26%,1.00%,"September 18, 2009","September 28, 2012","September 28, 2013",$0,MORTGAGE,"$6,733 / month",14.97%, 3 years 6 months,"Pearland, TX",__,__,__,N/a,__,660-678,0,07/1998,$0.00,13,1,23,13,"$4,740.00",0,39.50%,0,0
395073,"$3,200","$3,200",13.92%,1.00%,"September 21, 2009","September 28, 2012","September 28, 2013",$0,RENT,"$6,000 / month",2.20%, 11 years 7 months,"Monterey Park, CA",__,__,__,N/a,__,660-678,0,07/1994,$0.00,4,0,13,51,"$2,596.00",0,12.50%,n/a,3
425051,"$12,000","$12,000",15.65%,1.00%,"September 17, 2009","September 18, 2012","September 18, 2013",$0,n/a,"$5,417 / month",11.94%,4 years ,"Glenwood Springs, CO",__,__,__,N/a,__,679-713,0,10/1990,$0.00,11,0,30,67,"$13,583.00",0,26.60%,n/a,0
427722,"$5,000","$5,000",13.22%,1.00%,"September 18, 2009","September 23, 2012","September 23, 2013",$0,n/a,"$6,667 / month",11.85%, 1 year 2 months,"Washington, DC",__,__,__,N/a,__,679-713,0,11/1998,$0.00,14,1,21,12,"$2,023.00",0,18.90%,n/a,4
432853,"$15,000","$15,000",15.31%,1.00%,"September 18, 2009","September 19, 2012","September 19, 2013",$0,MORTGAGE,"$5,000 / month",21.36%, 6 years 2 months,"Slidell, LA",__,__,__,N/a,__,660-678,0,10/2003,$0.00,10,0,18,n/a,"$10,872.00",0,86.30%,n/a,0
433322,"$14,000","$14,000",8.94%,1.00%,"September 17, 2009","September 27, 2012","September 27, 2013",$0,MORTGAGE,"$4,333 / month",10.89%, 11 years 2 months,"Freeland, WA",__,__,__,N/a,__,750-779,0,07/1996,$0.00,8,0,19,n/a,"$8,447.00",0,50.90%,n/a,0
435180,"$6,000","$6,000",14.96%,1.00%,"September 18, 2009","September 22, 2012","September 22, 2013",$0,MORTGAGE,"$3,333 / month",8.49%, 13 years 3 months,"El Paso, TX",__,__,__,N/a,__,660-678,0,08/1998,$0.00,16,0,31,n/a,"$2,998.00",0,19.10%,n/a,0
435210,"$5,000","$5,000",13.57%,1.00%,"September 17, 2009","September 22, 2012","September 22, 2013",$0,MORTGAGE,"$5,167 / month",17.79%, 2 years 6 months,"New Memphis, IL",__,__,__,N/a,__,679-713,0,12/1998,$0.00,6,0,19,34,"$6,283.00",0,55.60%,n/a,3
437399,"$20,000","$20,000",12.53%,1.00%,"September 21, 2009","September 23, 2012","September 23, 2013",$0,RENT,"$2,947 / month",16.97%, 1 year 8 months,"BLOOMFIELD, NJ",__,__,__,N/a,__,714-749,0,01/2001,$0.00,5,0,6,n/a,"$20,708.00",0,54.60%,n/a,0
437929,"$14,000","$14,000",8.94%,1.00%,"September 16, 2009","September 26, 2012","September 26, 2013",$0,MORTGAGE,"$5,000 / month",20.82%, 6 years 10 months,"Hidden Valley Lake, CA",__,__,__,N/a,__,750-779,0,02/1985,$0.00,8,0,20,n/a,$946.00,0,18.90%,n/a,1
438446,"$15,000","$15,000",16.70%,1.00%,"September 16, 2009","September 12, 2012","September 12, 2013",$0,RENT,"$8,000 / month",7.05%, 2 years 5 months,"Houston, TX",__,__,__,N/a,__,714-749,0,04/1998,$0.00,3,0,13,61,"$3,146.00",0,46.40%,n/a,2
438597,"$6,500","$6,500",7.40%,1.00%,"September 18, 2009","September 21, 2012","September 21, 2013",$0,OWN,"$1,500 / month",14.13%, 10 years 2 months,"DAVISVILLE, WV",__,__,__,N/a,__,750-779,0,01/1990,$0.00,6,0,11,n/a,"$6,954.00",0,25.30%,n/a,0
439103,"$20,000","$20,000",12.18%,1.00%,"September 16, 2009","September 15, 2012","September 15, 2013",$0,MORTGAGE,"$5,833 / month",14.31%, 4 years 3 months,"RAVENA, NY",__,__,__,N/a,__,714-749,0,06/2001,$0.00,16,1,33,9,"$2,292.00",0,5.40%,n/a,1
