Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
366792,"$8,000","$8,000",14.99%,1.00%,"January 20, 2015","January 26, 2018","January 26, 2020",$0,MORTGAGE,"$10,000 / month",16.16%,3 years ,553xx,N/a,N/a,N/a,International Sales Manager,N/a,670-674,0,05/1999,$0.00,10,0,24,n/a,"$40,428.00",0,95.60%,n/a,2
793882,"$21,800","$21,800",11.44%,1.00%,"January 20, 2015","January 29, 2018","January 29, 2020",$0,MORTGAGE,"$10,000 / month",20.07%,10+ years ,546xx,N/a,N/a,N/a,LSM Operator,N/a,665-669,0,06/2005,$0.00,32,0,62,37,"$26,707.00",0,42.50%,n/a,1
805475,"$15,000","$15,000",15.99%,1.00%,"January 16, 2015","January 25, 2018","January 25, 2020",$0,MORTGAGE,"$9,000 / month",14.12%,2 years ,271xx,N/a,N/a,N/a,Manager Project Management,N/a,670-674,0,12/1999,$0.00,12,0,42,24,"$1,440.00",0,40.00%,n/a,0
1541103,"$6,000","$6,000",12.99%,1.00%,"January 15, 2015","January 27, 2018","January 27, 2020",$0,MORTGAGE,"$6,833 / month",27.85%,10+ years ,562xx,N/a,N/a,N/a,Tax Manager,N/a,660-664,0,03/1985,$0.00,8,0,18,46,"$61,413.00",0,101.50%,n/a,0
2634749,"$15,000","$15,000",11.99%,1.00%,"January 20, 2015","January 28, 2018","January 28, 2020",$0,MORTGAGE,"$4,500 / month",13.62%,3 years ,813xx,N/a,N/a,N/a,manager,N/a,675-679,0,08/2005,$0.00,9,1,16,6,"$7,112.00",0,98.80%,n/a,0
6736331,"$20,150","$20,150",17.86%,1.00%,"January 20, 2015","January 19, 2018","January 19, 2020",$0,MORTGAGE,"$5,833 / month",21.60%,10+ years ,760xx,N/a,N/a,N/a,ERP/Sales,N/a,660-664,0,06/2000,$0.00,7,1,12,23,"$31,219.00",0,96.40%,n/a,0
10079154,"$31,200","$31,200",8.67%,1.00%,"January 16, 2015","January 26, 2018","January 26, 2020",$0,MORTGAGE,"$9,167 / month",7.11%,4 years ,875xx,N/a,N/a,N/a,Gallery Director,N/a,725-729,0,04/2005,$0.00,8,0,13,n/a,"$18,439.00",0,50.80%,n/a,0
10235063,"$35,000","$35,000",11.99%,1.00%,"January 15, 2015","January 18, 2018","January 18, 2020",$0,MORTGAGE,"$8,750 / month",9.95%,7 years ,479xx,N/a,N/a,N/a,Millwright,N/a,660-664,0,06/2004,$0.00,10,1,36,11,"$21,262.00",0,66.90%,n/a,0
13538220,"$12,000","$12,000",9.49%,1.00%,"January 20, 2015","January 13, 2018","January 13, 2020",$0,MORTGAGE,"$4,167 / month",5.35%,10+ years ,191xx,N/a,N/a,N/a,Department supervisor,N/a,705-709,0,12/1995,$0.00,4,0,19,48,"$27,127.00",0,88.00%,n/a,0
14598459,"$24,125","$24,125",6.49%,1.00%,"January 15, 2015","January 25, 2018","January 25, 2020",$0,MORTGAGE,"$7,750 / month",22.65%,9 years ,796xx,N/a,N/a,N/a,Assistant City Attorney,N/a,770-774,0,03/1991,$0.00,9,0,23,n/a,"$38,468.00",0,38.20%,n/a,0
14909171,"$7,200","$7,200",15.99%,1.00%,"January 14, 2015","January 23, 2018","January 23, 2020",$0,MORTGAGE,"$1,667 / month",5.46%,n/a,734xx,N/a,N/a,N/a,n/a,N/a,710-714,0,11/2003,$0.00,3,0,4,n/a,"$1,678.00",0,64.50%,n/a,0
