Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
647011,"$12,400","$12,400",8.67%,1.00%,"January 30, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$5,833 / month",19.13%,2 years ,357xx,N/a,N/a,N/a,Communication Engineer,N/a,750-754,0,04/1997,$0.00,10,0,22,n/a,"$9,079.00",0,20.20%,n/a,0
6807397,"$32,000","$32,000",9.49%,1.00%,"February 3, 2015","February 13, 2020","February 13, 2020",$0,RENT,"$15,833 / month",15.88%,3 years ,853xx,N/a,N/a,N/a,Sales,N/a,695-699,0,09/1994,$0.00,19,0,37,37,"$14,675.00",0,33.70%,n/a,0
7077307,"$7,300","$7,300",18.54%,1.00%,"January 29, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$4,167 / month",3.41%,n/a,727xx,N/a,N/a,N/a,n/a,N/a,675-679,0,03/2006,$0.00,7,0,12,n/a,"$4,628.00",0,98.50%,n/a,0
7706142,"$8,000","$8,000",11.99%,1.00%,"January 30, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$5,250 / month",27.24%,10+ years ,871xx,N/a,N/a,N/a,Assembler,N/a,670-674,0,08/1988,$0.00,12,0,27,n/a,"$7,693.00",1,70.60%,105,0
11367863,"$35,000","$35,000",19.99%,1.00%,"February 3, 2015","February 13, 2018","February 13, 2020",$0,MORTGAGE,"$10,000 / month",27.66%,10+ years ,920xx,N/a,N/a,N/a,Sr Director,N/a,665-669,0,02/1996,$0.00,33,0,62,n/a,"$44,009.00",1,69.70%,70,2
13547927,"$18,625","$18,625",10.49%,1.00%,"January 29, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$7,083 / month",27.87%,3 years ,853xx,N/a,N/a,N/a,Senior Cost Estimator,N/a,695-699,0,03/1997,$0.00,9,0,39,n/a,"$2,064.00",0,39.70%,n/a,2
13858034,"$10,000","$10,000",25.89%,1.00%,"January 29, 2015","February 8, 2020","February 8, 2020",$0,RENT,"$2,083 / month",5.81%,2 years ,104xx,N/a,N/a,N/a,Security Guard,N/a,700-704,0,05/2011,$0.00,8,0,10,n/a,"$2,455.00",0,14.50%,n/a,1
14148004,"$12,000","$12,000",17.86%,1.00%,"January 29, 2015","February 9, 2020","February 9, 2020",$0,RENT,"$3,333 / month",14.44%,10+ years ,920xx,N/a,N/a,N/a,Owner,N/a,660-664,0,04/1996,$0.00,12,0,35,59,"$13,112.00",1,63.30%,58,3
15450021,"$15,025","$15,025",16.49%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$3,000 / month",18.83%,5 years ,605xx,N/a,N/a,N/a,Assistant Director ,N/a,660-664,0,05/2002,$0.00,13,0,27,57,"$21,749.00",0,73.50%,n/a,3
20668834,"$15,000","$15,000",15.99%,1.00%,"January 28, 2015","February 7, 2020","February 7, 2020",$0,MORTGAGE,"$5,417 / month",21.18%,6 years ,483xx,N/a,N/a,N/a,Account Executive,N/a,685-689,0,11/2008,$0.00,12,0,17,n/a,"$18,599.00",0,72.90%,n/a,1
27502394,"$16,000","$16,000",11.99%,1.00%,"February 3, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$8,000 / month",23.96%,10+ years ,075xx,N/a,N/a,N/a,Client Manager,N/a,660-664,0,11/1993,$0.00,17,0,28,25,"$46,095.00",0,82.80%,n/a,1
29174180,"$17,000","$17,000",16.49%,1.00%,"February 3, 2015","February 12, 2020","February 12, 2020",$0,MORTGAGE,"$8,583 / month",24.29%,8 years ,109xx,N/a,N/a,N/a,Police officer,N/a,665-669,0,04/2003,$0.00,19,0,36,70,"$47,358.00",0,80.10%,n/a,3
31517706,"$8,000","$8,000",14.31%,1.00%,"January 29, 2015","February 10, 2018","February 10, 2020",$0,MORTGAGE,"$7,917 / month",17.09%,10+ years ,190xx,N/a,N/a,N/a,nurse,N/a,680-684,0,04/1990,$0.00,19,3,48,10,"$6,620.00",0,22.70%,n/a,2
34763585,"$15,000","$15,000",8.67%,1.00%,"January 29, 2015","January 22, 2018","January 22, 2020",$0,RENT,"$5,417 / month",6.23%,10+ years ,112xx,N/a,N/a,N/a,Senior Manager Agency Relations,N/a,685-689,0,12/1991,$0.00,10,1,11,23,"$10,799.00",0,34.30%,n/a,1
34913985,"$12,000","$12,000",10.49%,1.00%,"January 28, 2015","February 4, 2020","February 4, 2020",$0,RENT,"$2,500 / month",22.85%,< 1 year ,333xx,N/a,N/a,N/a,Concierge,N/a,670-674,0,03/1978,$0.00,10,0,28,39,"$12,445.00",0,22.70%,n/a,0
36068701,"$21,600","$21,600",13.66%,1.00%,"January 30, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$5,000 / month",4.72%,4 years ,940xx,N/a,N/a,N/a,Researcher,N/a,690-694,0,03/2011,$0.00,12,0,15,n/a,"$10,643.00",0,37.20%,n/a,2
36079478,"$5,375","$5,375",16.49%,1.00%,"January 30, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$5,000 / month",29.50%,2 years ,550xx,N/a,N/a,N/a,Maintenance Mechanic,N/a,700-704,0,02/1995,$0.00,24,0,46,n/a,"$43,282.00",0,71.70%,n/a,0
37841440,"$25,000","$25,000",10.49%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$16,167 / month",13.97%,10+ years ,300xx,N/a,N/a,N/a,tax analyst,N/a,675-679,0,12/2002,$0.00,14,1,40,19,"$27,262.00",0,72.70%,n/a,1
38182010,"$20,000","$20,000",17.86%,1.00%,"January 28, 2015","February 5, 2018","February 5, 2020",$0,RENT,"$6,583 / month",17.09%,4 years ,980xx,N/a,N/a,N/a,Machinist,N/a,670-674,0,02/2001,$0.00,4,0,10,n/a,"$5,227.00",1,87.10%,39,1
38232456,"$24,000","$24,000",8.67%,1.00%,"February 2, 2015","February 4, 2018","February 4, 2020",$0,MORTGAGE,"$5,417 / month",15.09%,10+ years ,064xx,N/a,N/a,N/a,Installation/Repair Technician,N/a,715-719,0,09/1991,$0.00,13,0,32,n/a,"$21,397.00",0,51.60%,n/a,1
38281712,"$16,900","$16,900",14.31%,1.00%,"February 3, 2015","January 16, 2018","January 16, 2020",$0,RENT,"$6,250 / month",29.78%,9 years ,977xx,N/a,N/a,N/a,owner,N/a,695-699,0,04/1994,$0.00,15,0,22,n/a,"$33,437.00",0,64.30%,n/a,0
38331388,"$18,000","$18,000",14.99%,1.00%,"January 30, 2015","February 10, 2020","February 10, 2020",$0,MORTGAGE,"$5,417 / month",17.63%,4 years ,850xx,N/a,N/a,N/a,Manager,N/a,680-684,0,04/2007,$0.00,13,0,23,39,"$5,578.00",0,45.30%,n/a,1
38362584,"$8,000","$8,000",14.99%,1.00%,"February 2, 2015","February 5, 2018","February 5, 2020",$0,MORTGAGE,"$5,333 / month",23.55%,10+ years ,277xx,N/a,N/a,N/a,Teacher,N/a,710-714,0,06/2000,$0.00,16,0,32,41,"$3,211.00",0,17.20%,n/a,0
38416033,"$20,000","$20,000",6.49%,1.00%,"January 29, 2015","January 15, 2018","January 15, 2020",$0,OWN,"$10,417 / month",14.91%,5 years ,852xx,N/a,N/a,N/a,sales,N/a,740-744,0,10/1981,$0.00,19,0,51,34,"$4,625.00",0,4.80%,n/a,1
38417594,"$19,875","$19,875",19.99%,1.00%,"January 30, 2015","January 19, 2018","January 19, 2020",$0,MORTGAGE,"$3,875 / month",11.17%,n/a,469xx,N/a,N/a,N/a,n/a,N/a,665-669,0,11/1995,$0.00,8,1,31,20,"$11,639.00",1,52.00%,81,0
38417804,"$10,000","$10,000",14.99%,1.00%,"January 29, 2015","January 19, 2018","January 19, 2020",$0,MORTGAGE,"$2,633 / month",30.35%,10+ years ,487xx,N/a,N/a,N/a,Program Director/Counselor,N/a,660-664,0,06/2003,$0.00,18,0,40,n/a,"$17,148.00",0,70.90%,n/a,2
38417820,"$4,000","$4,000",16.49%,1.00%,"January 28, 2015","January 23, 2018","January 23, 2020",$0,RENT,"$1,333 / month",13.43%,9 years ,344xx,N/a,N/a,N/a,food service,N/a,660-664,0,01/2001,$0.00,9,0,16,n/a,"$3,744.00",0,26.60%,n/a,1
38419356,"$24,000","$24,000",15.59%,1.00%,"January 29, 2015","February 6, 2020","February 6, 2020",$0,MORTGAGE,"$9,000 / month",16.03%,10+ years ,958xx,N/a,N/a,N/a,Office Manager,N/a,700-704,0,03/1993,$0.00,27,0,55,33,"$5,997.00",2,13.90%,52,3
38426743,"$15,500","$15,500",9.49%,1.00%,"February 2, 2015","February 12, 2018","February 12, 2020",$0,RENT,"$9,126 / month",6.86%,< 1 year ,303xx,N/a,N/a,N/a,Pharmacist,N/a,660-664,0,09/1997,$0.00,10,0,63,n/a,"$20,777.00",2,94.40%,52,0
38428187,"$22,000","$22,000",22.99%,1.00%,"February 2, 2015","February 8, 2020","February 8, 2020",$0,MORTGAGE,"$4,167 / month",32.36%,10+ years ,469xx,N/a,N/a,N/a,Program technician,N/a,700-704,0,10/1997,$0.00,11,0,17,n/a,"$41,537.00",0,88.00%,n/a,0
38436385,"$20,000","$20,000",9.49%,1.00%,"January 28, 2015","February 3, 2018","February 3, 2020",$0,MORTGAGE,"$13,250 / month",2.68%,< 1 year ,021xx,N/a,N/a,N/a,Judge,N/a,670-674,0,03/1981,$0.00,5,7,22,3,"$2,325.00",0,55.40%,n/a,0
38436520,"$8,000","$8,000",13.66%,1.00%,"January 29, 2015","January 14, 2018","January 14, 2020",$0,RENT,"$3,333 / month",15.51%,< 1 year ,100xx,N/a,N/a,N/a,Junior Attorney,N/a,665-669,0,07/2008,$0.00,15,1,26,17,"$13,321.00",0,46.10%,n/a,2
38436521,"$22,750","$22,750",25.80%,1.00%,"January 29, 2015","January 14, 2020","January 14, 2020",$0,MORTGAGE,"$5,000 / month",11.00%,3 years ,672xx,N/a,N/a,N/a,Car Salesman,N/a,715-719,0,11/1999,$0.00,6,0,16,n/a,"$46,634.00",0,55.90%,n/a,1
38439421,"$14,400","$14,400",8.67%,1.00%,"January 29, 2015","January 20, 2020","January 20, 2020",$0,RENT,"$5,417 / month",8.42%,10+ years ,025xx,N/a,N/a,N/a,owner,N/a,680-684,0,11/1985,$0.00,6,0,15,31,"$24,545.00",0,55.90%,n/a,0
38449402,"$15,200","$15,200",6.99%,1.00%,"February 2, 2015","February 12, 2018","February 12, 2020",$0,MORTGAGE,"$10,467 / month",16.91%,10+ years ,335xx,N/a,N/a,N/a,IT Director,N/a,735-739,0,05/1999,$0.00,7,0,17,n/a,"$18,579.00",0,88.50%,n/a,0
38449455,"$24,000","$24,000",16.49%,1.00%,"January 28, 2015","January 25, 2020","January 25, 2020",$0,MORTGAGE,"$6,000 / month",36.57%,9 years ,061xx,N/a,N/a,N/a,COO,N/a,675-679,0,02/1998,$0.00,14,1,31,15,"$39,992.00",0,82.80%,n/a,1
38450590,"$35,000","$35,000",16.49%,1.00%,"February 2, 2015","January 30, 2018","January 30, 2020",$0,RENT,"$13,333 / month",7.33%,10+ years ,208xx,N/a,N/a,N/a,owner,N/a,690-694,0,03/2004,$0.00,4,1,14,17,"$29,670.00",0,77.70%,n/a,2
38455841,"$10,000","$10,000",15.99%,1.00%,"January 28, 2015","February 3, 2020","February 3, 2020",$0,RENT,"$4,167 / month",22.97%,n/a,495xx,N/a,N/a,N/a,n/a,N/a,695-699,0,06/2004,$0.00,14,0,26,28,"$9,165.00",0,51.00%,n/a,2
